,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence
0,0.991,['Mamie Smith'],0.598,168333,0.224,0,0cS0A1fUEUd1EW3FcF8AEI,0.000522,5,0.379,-12.628,0,Keep A Song In Your Soul,23,1920,0.0936,149.976,0.634
1,0.643,"[""Screamin' Jay Hawkins""]",0.852,150200,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,-7.261,0,I Put A Spell On You,8,1920-01-05,0.0534,86.889,0.95
2,0.993,['Mamie Smith'],0.647,163827,0.186,0,11m7laMUgmOKqI3oYzuhne,1.76e-05,0,0.519,-12.098,1,Golfing Papa,6,1920,0.174,97.6,0.689
3,0.000173,['Oscar Velazquez'],0.73,422087,0.798,0,19Lc5SfJJ5O1oaxY0fpwfh,0.801,2,0.128,-7.311,1,True House Music - Xavier Santos & Carlos Gomix Remix,17,1920-01-01,0.0425,127.997,0.0422
4,0.992,['Mamie Smith'],0.782,195200,0.0573,0,5DlCyqLyX2AOVDTjjkDZ8x,1.61e-06,5,0.176,-12.453,1,Don't You Advertise Your Man,6,1920,0.0592,85.652,0.487
5,0.996,['Mamie Smith & Her Jazz Hounds'],0.424,198627,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,-11.47,1,Crazy Blues - 78rpm Version,3,1920,0.0397,103.87,0.477
6,0.00115,['Oscar Velazquez'],0.662,413571,0.936,0,5Gwgo0I8mI4idVlMC2Lb8w,0.857,4,0.0696,-7.633,0,True House Music - Luis Ache Sunset Remix,15,1920-01-01,0.0715,127.995,0.144
7,0.996,['Mamie Smith & Her Jazz Hounds'],0.474,186173,0.239,0,02FzJbHtqElixxCmrpSCUa,0.186,9,0.195,-9.712,1,Arkansas Blues,0,1920,0.0289,78.784,0.366
8,0.996,['Francisco Canaro'],0.469,146840,0.238,0,02i59gYdjlhBmbbWhf8YuK,0.96,8,0.149,-18.717,1,La Chacarera - Remasterizado,0,1920-07-08,0.0741,130.06,0.621
9,0.00682,['Meetya'],0.571,476304,0.753,0,06NUxS2XL3efRh0bloxkHm,0.873,8,0.092,-6.943,1,Broken Puppet - Original Mix,0,1920-01-01,0.0446,126.993,0.119
10,0.952,['Dorville'],0.688,150067,0.22,0,07jrRR1CUUoPb1FLfSy9Jh,0.0,6,0.262,-15.208,0,Oouin,0,1920,0.845,82.024,0.414
