,acousticness,artists,danceability,duration_min,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,genres
0,0.991,['Mamie Smith'],0.598,3,0.22399999999999998,0,0cS0A1fUEUd1EW3FcF8AEI,0.000522,5,0.379,5,0,Keep A Song In Your Soul,0.23,1920,0.0936,7,0.634,['traditional blues']
1,0.643,"[""Screamin' Jay Hawkins""]",0.852,3,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,5,0,I Put A Spell On You,0.08,1920-01-05,0.0534,4,0.95,"['blues', 'traditional blues']"
2,0.993,['Mamie Smith'],0.647,3,0.18600000000000003,0,11m7laMUgmOKqI3oYzuhne,1.76e-05,0,0.519,5,1,Golfing Papa,0.06,1920,0.174,5,0.6890000000000001,['traditional blues']
3,0.000173,['Oscar Velazquez'],0.73,7,0.7979999999999999,0,19Lc5SfJJ5O1oaxY0fpwfh,0.8009999999999999,2,0.128,5,1,True House Music - Xavier Santos & Carlos Gomix Remix,0.17,1920-01-01,0.0425,6,0.0422,['circuit']
4,0.992,['Mamie Smith'],0.782,3,0.0573,0,5DlCyqLyX2AOVDTjjkDZ8x,1.61e-06,5,0.17600000000000002,5,1,Don't You Advertise Your Man,0.06,1920,0.0592,4,0.48700000000000004,['traditional blues']
5,0.996,['Mamie Smith & Her Jazz Hounds'],0.424,3,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,5,1,Crazy Blues - 78rpm Version,0.03,1920,0.0397,5,0.47700000000000004,[]
6,0.00115,['Oscar Velazquez'],0.662,7,0.9359999999999999,0,5Gwgo0I8mI4idVlMC2Lb8w,0.857,4,0.0696,5,0,True House Music - Luis Ache Sunset Remix,0.15,1920-01-01,0.0715,6,0.14400000000000002,['circuit']
7,0.996,['Mamie Smith & Her Jazz Hounds'],0.474,3,0.239,0,02FzJbHtqElixxCmrpSCUa,0.18600000000000003,9,0.195,5,1,Arkansas Blues,0.0,1920,0.0289,4,0.366,[]
8,0.996,['Francisco Canaro'],0.469,2,0.23800000000000002,0,02i59gYdjlhBmbbWhf8YuK,0.96,8,0.149,4,1,La Chacarera - Remasterizado,0.0,1920-07-08,0.0741,7,0.621,"['tango', 'vintage tango']"
9,0.0068200000000000005,['Meetya'],0.5710000000000001,8,0.753,0,06NUxS2XL3efRh0bloxkHm,0.873,8,0.092,5,1,Broken Puppet - Original Mix,0.0,1920-01-01,0.0446,6,0.11900000000000001,[]
10,0.9520000000000001,['Dorville'],0.688,3,0.22,0,07jrRR1CUUoPb1FLfSy9Jh,0.0,6,0.262,4,0,Oouin,0.0,1920,0.845,4,0.414,[]
11,0.986,['Abd al-Qâdir Battîta'],0.621,3,0.364,0,087dwWsFcQQtQ7OpOJNa1i,1.07e-05,11,0.244,5,1,"“Aytat ed-Dâr el-Beydâ"", I",0.0,1920-01-01,0.35200000000000004,6,0.385,[]
12,0.996,['Francisco Canaro'],0.579,3,0.35600000000000004,0,0ANuF7SvPeIHanGcCpy9jR,0.948,10,0.174,5,1,Desengaño - Remasterizado,0.0,1920-07-08,0.0394,7,0.703,"['tango', 'vintage tango']"
13,0.992,['Ka Koula'],0.353,5,0.396,0,0BEO6nHi1rmTOPiEZvCIDW,0.924,1,0.312,5,1,Ta oula sou,0.0,1920-01-01,0.0447,6,0.5660000000000001,[]
14,0.0047799999999999995,['Justrock'],0.643,5,0.998,0,0DH1IROKoPK5XTglUt9Pq0,0.47600000000000003,1,0.105,5,1,Schumacher,0.0,1920-01-01,0.0566,6,0.639,['electro trash']
15,0.0466,['Luis Carlos Molina Acevedo'],0.507,2,0.7959999999999999,1,0GZ4usSVsQ8qdz4c6HtGtF,0.0486,2,0.507,5,1,Pale Moon: in Jazz,0.0,1920,0.036000000000000004,6,0.838,[]
16,0.993,['Takis Nikolaou'],0.45299999999999996,4,0.41,0,0HVjPaxbyfFcg8Rh0plyo5,0.16,2,0.292,5,1,Mparmpaouzos,0.0,1920-01-01,0.044000000000000004,3,0.894,[]
17,0.9790000000000001,['Aggeliki Karagianni'],0.525,4,0.433,0,0Hn7LWy1YcKhPaA2NItG9K,0.111,2,0.134,5,1,To katinaki,0.0,1920-01-01,0.0488,5,0.792,[]
18,0.972,['Giorgos Katsaros'],0.528,5,0.325,0,0I6DjrEfd3fKFESHEjnelr,0.0234,11,0.102,5,1,Oli mera paizei zaria,0.0,1920-01-01,0.0421,6,0.146,"['bouzouki', 'rebetiko']"
19,0.996,['Francisco Canaro'],0.46799999999999997,3,0.5329999999999999,0,0KGiP9EW1xtojDHsTGARL5,0.87,1,0.179,5,1,El Africano - Remasterizado,0.0,1920-07-08,0.0452,7,0.728,"['tango', 'vintage tango']"
20,0.75,['Giorgos Katsaros'],0.528,5,0.456,0,0KNI2d7l3ByVHU0g2aW3P0,0.439,2,0.102,5,1,Vre ti magkas pou eimai ego,0.0,1920-01-01,0.0371,6,0.493,"['bouzouki', 'rebetiko']"
21,0.993,['Amalia Vaka'],0.397,4,0.484,0,0LYNwxHYHPW256lO2phedM,0.179,5,0.327,5,0,Thelo na se lismoniso,0.0,1920-01-01,0.0498,3,0.515,[]
22,0.0239,['Ron van der Kraan'],0.7440000000000001,4,0.428,0,0MwMyEO5AxYpghTU6gB85H,3.07e-05,9,0.106,4,1,On a Ragga Trip,0.09,1920-01-03,0.0376,7,0.578,[]
23,0.9390000000000001,"[""Vasílis Besíris 'Tourkovasílis'""]",0.465,3,0.611,0,0OM9aSti0UOwN9yuz1m85y,0.8859999999999999,2,0.145,5,1,Sirtó prevezániko,0.0,1920-01-01,0.0469,5,0.8029999999999999,[]
24,0.0105,['Ron van der Kraan'],0.763,5,0.363,0,0Rfu6umKtRBny2reKydNph,0.0,10,0.0956,4,0,Sweet Reggae Music,0.0,1920-01-03,0.16899999999999998,4,0.447,[]
25,1.1599999999999999e-05,['Oscar Velazquez'],0.568,6,0.7290000000000001,0,0TIfXVGqyiOTuWkuxEzQzc,0.912,2,0.0613,5,1,True House Music - Original Massive Mix,0.05,1920-01-01,0.0312,6,0.175,['circuit']
26,0.9590000000000001,['Athanasía Alexandropoúlou'],0.603,4,0.37200000000000005,0,0UYplqEm5qa4hkEo64C0TW,0.0129,8,0.174,5,0,"I photoúla, beráti",0.0,1920-01-01,0.0741,6,0.9009999999999999,[]
27,0.381,['ST'],0.9359999999999999,3,0.37200000000000005,1,0XGoQAeP51ySJbtqXhuJrl,0.0,0,0.083,5,1,Comme à l'époque,0.0,1920,0.455,7,0.222,"['pop', 'post-teen pop']"
28,0.9840000000000001,['Manolis Karapiperis'],0.58,4,0.42200000000000004,0,0YCVsd1quXrjZWIiROp1vw,0.7879999999999999,8,0.34700000000000003,5,1,Aidiniko,0.0,1920-01-01,0.0385,6,0.6679999999999999,[]
29,0.9440000000000001,['Félix Mayol'],0.6559999999999999,3,0.292,0,0YHjhp3fj1IgLFtDsw8v3M,0.0,1,0.23399999999999999,5,1,Bou Dou Ba Da Bouh,0.0,1920,0.126,6,0.723,['vintage chanson']
30,0.0323,['Meetya'],0.6970000000000001,8,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,5,0,Day After - Original Mix,0.0,1920-01-01,0.0609,7,0.321,[]
31,0.996,['Maurice Chevalier'],0.613,3,0.27399999999999997,0,0Z6sMDs4BqsNshmprUBWGT,0.428,8,0.172,5,1,Oh Maurice,0.0,1920,0.225,3,0.769,"['cabaret', 'vintage hollywood']"
