genres,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,label
21st century classical,0.983,0.2185,0.01835,0.8740000000000001,0.11279999999999997,0.038750000000000014,0.0629,6
432hz,0.48507,0.33,0.46308375,0.4803925,0.1188625,0.0862875,0.217675,8
[],0.6863952690777669,0.5168302100498914,0.3974906073666599,0.2028825096317088,0.2213235015235606,0.10987131758775523,0.5139053045731292,4
a cappella,0.6660363114336644,0.5767321746880572,0.33453539343009936,0.028485812539470325,0.12829155844155846,0.10678156353450473,0.5025207282913166,4
abstract,0.352395,0.4891000000000001,0.5093000000000001,0.7880333333333334,0.12231666666666667,0.04415666666666666,0.35413,0
abstract beats,0.4301,0.628875,0.519,0.3473766325,0.1154875,0.112275,0.4824000000000001,4
abstract hip hop,0.2066364705882353,0.7160764705882353,0.6635058823529413,0.0023219067058823533,0.1579129411764706,0.2586723529411765,0.6103117647058823,2
abstract idm,0.9590000000000001,0.0929,0.0217,0.818,0.11199999999999999,0.0401,0.0405,6
accordeon,0.613,0.5166666666666667,0.301,0.3543333333333334,0.17376666666666665,0.03473333333333333,0.6093333333333334,4
accordion,0.457,0.6051249999999999,0.419125,0.08348928750000001,0.1842625,0.0687875,0.6385000000000001,4
acid house,0.07396176923076922,0.6792076923076922,0.7302492307692307,0.29241141615384625,0.2046576923076923,0.05753230769230769,0.6263692307692307,2
acid jazz,0.09502333333333336,0.6819166666666666,0.6609166666666667,0.23237049999999998,0.117225,0.06751666666666667,0.6885833333333333,2
acid rock,0.2230888497832388,0.4521525388768141,0.6015584373294888,0.17174126895784272,0.2374479582024306,0.07505855353648246,0.5458476761078228,3
acid trance,0.0035354999999999996,0.5569999999999999,0.925,0.7765,0.152,0.04235,0.6395,0
acousmatic,0.92016870122631,0.41590741360089184,0.25182519175027873,0.5984001278651059,0.2631755490523969,0.08719903288740245,0.30445079152731336,6
acoustic blues,0.7592535430731119,0.6059519953980974,0.35643339625206666,0.09829634307958147,0.18213478620613216,0.0681522032575927,0.6331138975365491,1
acoustic pop,0.4764915193006749,0.5330136646370993,0.4889270263662144,0.04355227738791394,0.1568156547325558,0.04032400439936739,0.3992053091379088,3
acoustic punk,0.3631058100386101,0.5265891891891892,0.6141382239382239,0.06794403940926641,0.17122577220077226,0.06718745173745172,0.7498281853281854,3
adoracion,0.3611111111111111,0.4916111111111111,0.5253611111111112,0.0,0.3066055555555555,0.037108333333333327,0.28911111111111115,8
adult standards,0.6421493610568239,0.4991840629342109,0.391261578823976,0.1138228664737188,0.1928368971717893,0.053519639320521735,0.5013299927341625,4
adventista,0.6835456521739129,0.5510217391304348,0.36730434782608695,5.755652173913045e-06,0.15083913043478264,0.028754347826086962,0.5123913043478261,4
afghan pop,0.4504,0.6968333333333333,0.6721666666666666,0.0014728504166666664,0.09867083333333332,0.0802,0.8082916666666667,2
afghan traditional,0.996,0.621,0.111,0.27699999999999997,0.22699999999999998,0.359,0.755,1
african gospel,0.77,0.605,0.602,0.0007610000000000001,0.083,0.0413,0.903,4
african percussion,0.3421875000000001,0.5778125,0.7656874999999999,0.27670179250000004,0.1270375,0.08570625,0.45799999999999996,3
african reggae,0.1767142857142857,0.7560357142857143,0.6028928571428571,0.0074758564285714296,0.13283571428571428,0.06421428571428571,0.6877142857142857,2
african rock,0.14440116875,0.6872708333333334,0.6880625,0.04695580625000001,0.19143541666666666,0.0667375,0.5744166666666667,2
afro dancehall,0.07983349999999999,0.7295,0.7671625,0.0009641528750000001,0.2255125,0.12663000000000002,0.5835874999999999,2
afro house,0.19975,0.6675,0.5965,0.195746,0.1115,0.1682,0.6729999999999999,2
afro psych,0.1884,0.4866666666666666,0.7633333333333333,0.3386333333333333,0.15933333333333333,0.05223333333333333,0.8136666666666668,2
afro-funk,0.20119090909090911,0.7777727272727273,0.744909090909091,0.1117405181818182,0.11939090909090908,0.08509090909090908,0.8515454545454546,2
afrobeat,0.3174583589975948,0.6306041898777365,0.6294329777950971,0.30224816638259905,0.1623557261276586,0.060551853780000324,0.693894467050533,2
afrobeat brasileiro,0.9,0.621,0.758,0.00216,0.121,0.106,0.695,4
afrofuturism,0.2470288677403515,0.6496308286882201,0.5834039671922281,0.1099792152824866,0.18909038243881726,0.14885158525773742,0.4924648051706746,3
afrofuturismo brasileiro,0.626,0.484,0.81,0.000283,0.11,0.0377,0.42200000000000004,3
afropop,0.4470095867844525,0.6155563685322614,0.5351318485701492,0.14164379718694606,0.16259506127424844,0.0610650946525423,0.6404815090560779,4
aggrotech,3.28e-06,0.4920000000000001,0.9470000000000001,0.7559999999999999,0.319,0.0433,0.212,0
alabama indie,0.3366683365384615,0.5043846153846154,0.553625,0.05592245576923077,0.12549038461538464,0.040211538461538465,0.4612884615384616,3
alabama metal,0.0021360000000000003,0.4350000000000001,0.88,7.366666666666667e-07,0.15406666666666666,0.060966666666666676,0.4653333333333333,9
alabama rap,0.14970111432506886,0.6973930211202939,0.623063934802571,0.0004509469972451791,0.15714406565656566,0.2225500344352617,0.4380760560146925,2
albanian pop,0.0028699999999999997,0.6829999999999999,0.665,0.0,0.0839,0.0499,0.667,2
alberta country,0.19789679166666665,0.594771875,0.7629729166666668,0.0013267004583333332,0.16819958333333335,0.050236666666666666,0.6376000000000001,2
album rock,0.19264888199088015,0.5126924554645601,0.6593102292008498,0.07705196328423207,0.2174429551170433,0.057036987692099674,0.548897135460236,3
albuquerque indie,0.3633749425287357,0.5580488505747127,0.591566091954023,0.020584468505747126,0.1826514367816092,0.033681034482758616,0.6046666666666667,3
alt-idol,0.000273,0.616,0.985,0.000145,0.111,0.0832,0.48700000000000004,2
alternative americana,0.3503385185185185,0.5025956790123458,0.5123981481481481,0.2334366562962963,0.17258703703703698,0.047043518518518526,0.4511820987654321,3
alternative country,0.41238654230425376,0.5287477214164393,0.5236264238267897,0.05659735156952559,0.1801959781593243,0.04247985776558196,0.5002898212272814,3
alternative dance,0.1424368513060176,0.6106743634517213,0.7308954283849981,0.2046786179289524,0.20018773681319585,0.05961463096568846,0.5252203536239031,2
alternative emo,0.08982654634998573,0.4632077231574572,0.7715428535707791,0.02487646514661757,0.1996433023861481,0.06542345572571635,0.4601431477801157,9
alternative hip hop,0.1957083546338728,0.6944350777279437,0.6866918606576798,0.03835739406960723,0.2353903864173748,0.25002564270625033,0.6014739918444679,2
alternative metal,0.05917810936285318,0.4627603670956714,0.8328251379559121,0.10899909220827578,0.21109289298057016,0.0823828622554442,0.41583603921247997,9
alternative pop,0.10876322048557477,0.4678907885084921,0.7393570108755985,0.15553063577974136,0.17434013432960924,0.04828379497870551,0.5660683042581638,2
alternative pop rock,0.15343120317460315,0.587580634920635,0.7131987301587303,0.005127889847619047,0.18228200000000006,0.06189412698412699,0.6134415873015873,2
alternative r&b,0.3326384413475789,0.6541008458236861,0.5308074355133453,0.030452301928599438,0.17519292826287944,0.13691226936192127,0.4332687215583266,2
alternative rock,0.15340007449464688,0.4751355407157583,0.7101890376495613,0.1601557808430621,0.19642299203425925,0.0623805196863598,0.5001771927462877,2
alternative roots rock,0.33420524999999995,0.4960416666666666,0.6245208333333334,0.09687344701388888,0.14687847222222222,0.05396458333333334,0.4995277777777778,3
ambeat,0.4896028571428572,0.7399285714285714,0.6357857142857143,0.26161085714285714,0.137375,0.11644285714285715,0.6596785714285714,4
ambient,0.6978313358803985,0.33100638396466875,0.2749399220120714,0.7729776641449775,0.1242431003390178,0.042927302906652184,0.1786944390877245,6
ambient black metal,0.001325495,0.2638333333333333,0.7681666666666667,0.7681833333333333,0.3260333333333333,0.05736666666666668,0.24101666666666666,0
ambient folk,0.6441710714285714,0.5259925595238095,0.3743946428571429,0.140623479077381,0.1667877976190476,0.06276458333333332,0.3244330357142857,8
ambient house,0.048900000000000006,0.6298333333333334,0.8323333333333333,0.1484,0.3293333333333333,0.046483333333333335,0.456,2
ambient idm,0.4775,0.35050000000000003,0.5794999999999999,0.46250715,0.1205,0.0575,0.2385,8
ambient industrial,0.10005,0.6545,0.6255,0.41106000000000004,0.33095,0.0365,0.6555,0
ambient pop,0.7149066666666666,0.362675,0.30012500000000003,0.6626065,0.11020833333333334,0.03446333333333333,0.1812175,6
ambient techno,0.10710433333333334,0.6963333333333334,0.5555,0.6103666666666666,0.0817,0.034333333333333334,0.7980833333333334,0
ambient worship,0.6779672279411765,0.2974080882352941,0.2907354411764706,0.4569248033897059,0.1238877205882353,0.036024485294117635,0.1523992647058824,7
american 21st century classical,0.988,0.233,0.0217,0.8190000000000001,0.0836,0.0413,0.071,6
american choir,0.9763428571428571,0.2248184761904762,0.1400373333333334,0.3354397682857143,0.1546392380952381,0.042224952380952384,0.1327009523809524,5
american contemporary classical,0.940684870416322,0.3481685414943479,0.14272129845602427,0.488880008745382,0.14773527502067824,0.0520448393989523,0.27673576509511993,6
american folk revival,0.8095175200752296,0.5464029780782795,0.27759939210076023,0.03548075943242535,0.1649904738756542,0.0740664863510501,0.5580949798102401,1
american metalcore,0.0032467333333333326,0.389,0.971,0.0003463333333333333,0.2109,0.25433333333333336,0.2513333333333333,9
american modern classical,0.884133436557192,0.3774856716499271,0.2517320105251797,0.5206774424775403,0.22116296445281608,0.1222789013465506,0.4143220118575927,6
american post-rock,0.3520751139705882,0.4560968137254903,0.44594056372549024,0.7972410539215686,0.1234780637254902,0.03708069852941177,0.1862180147058824,0
american primitive,0.35252183428209993,0.4057805186590766,0.4925768500948767,0.8381404174573054,0.12739911448450347,0.0617887413029728,0.4942101834282099,0
american romanticism,0.952017857142857,0.3450476190476191,0.1980267857142857,0.4803975882738095,0.14740654761904762,0.04374047619047618,0.2936797619047619,6
american shoegaze,0.12659926666666665,0.2360833333333333,0.7433333333333333,0.4969166666666667,0.20375,0.047233333333333336,0.26683333333333337,0
anadolu rock,0.5712499999999999,0.4839999999999999,0.4397499999999999,0.1734817333333333,0.16398333333333334,0.038449999999999984,0.5795,4
anarcho-punk,0.04500069266666666,0.3265933333333333,0.8780166666666667,0.011266270966666669,0.2526066666666667,0.127833,0.4756306666666667,9
andean,0.6116214879999999,0.5795899999999999,0.4449466666666666,0.29703039,0.11585266666666667,0.060687666666666674,0.4963033333333334,4
anglican liturgy,0.9571041666666664,0.28605416666666666,0.15845416666666665,0.2835363166666667,0.11571666666666668,0.06903958333333332,0.3048875,5
animal singing,0.8059999999999999,0.7990000000000002,0.6395,0.0,0.1935,0.04235,0.9025,4
anime,0.13762074336220298,0.498010326449034,0.8012629136131469,0.11006991990228736,0.17584206195869415,0.06475492671552298,0.4889741061514547,9
anime latino,0.10919556833333333,0.4545833333333333,0.9027499999999998,0.003949961666666667,0.25575833333333337,0.057275,0.5535,9
anime rock,0.07807862222222224,0.5190333333333332,0.8562555555555557,0.037145760888888886,0.22993499999999994,0.0774672222222222,0.5413888888888889,2
anime score,0.2758317384545824,0.4597169663037385,0.683724412454634,0.2959342878891077,0.17930561911716975,0.0726157048552713,0.4201418708322269,3
ann arbor indie,0.27950729166666666,0.5811875000000001,0.5011874999999999,0.04456580291666667,0.14350833333333332,0.08781875000000001,0.4559375,3
anthem emo,0.0969255568606702,0.4876566137566137,0.7824960317460317,0.012080399775132276,0.21755878306878304,0.07285908289241624,0.4348070546737213,9
anthem worship,0.2424036327183065,0.4818975707140754,0.6051301765225067,0.010776577776530915,0.204597104190308,0.051113995362781765,0.3431915020524244,3
anti-folk,0.4440345154724544,0.494876122247352,0.5268866426016992,0.11998000109968845,0.17747624322419905,0.05457202736381432,0.4823067226084008,3
antilliaanse folklore,0.95,0.583,0.5660000000000001,0.847,0.109,0.0476,0.932,7
antiviral pop,0.16992170818553845,0.6447891605790043,0.7179389204545457,0.014704068138798697,0.21203221590909088,0.09968300054112553,0.5981319230248917,2
appalachian folk,0.7811676663588307,0.5369247592063803,0.3372496968968011,0.12113320923171303,0.18763448287867468,0.06008203917779646,0.6519154545747778,1
arab folk,0.770442720576006,0.4532401351872455,0.3206161501717904,0.3476769449442865,0.30154999382818176,0.06381554251096272,0.5072094703809179,7
arab groove,0.883,0.4390000000000001,0.2075,0.6665,0.15985,0.0363,0.433,6
arab metal,0.305,0.645,0.888,0.0,0.273,0.0336,0.7290000000000001,3
arab pop,0.521975307125307,0.5759410319410319,0.5010796068796071,0.06858682772727273,0.1590441031941032,0.057635626535626525,0.5792911547911548,4
arab trap,0.0527,0.752,0.905,0.000242,0.17300000000000001,0.0515,0.6890000000000001,2
arabesk,0.4835,0.495,0.5725,3.045e-05,0.1106,0.04475,0.5535,4
arabic hip hop,0.8270000000000001,0.366,0.431,0.0,0.3225,0.0369,0.416,8
arabic jazz,0.9185,0.4615,0.15375,0.3333755,0.136925,0.04315,0.4045,5
argentine ambient,0.9121666666666668,0.3255,0.18164666666666668,0.8106666666666666,0.11383333333333333,0.04151666666666667,0.1784666666666667,6
argentine hardcore,0.01081,0.69,0.6535,0.01150665,0.3725999999999999,0.05555,0.655,2
argentine heavy metal,0.03932666666666667,0.5462499999999999,0.79125,0.0557029925,0.13725,0.13306666666666667,0.5318333333333333,9
argentine hip hop,0.3742333333333333,0.7816,0.6838666666666666,0.00027305399999999995,0.10588666666666664,0.17027333333333333,0.6046666666666667,2
argentine indie,0.6887095238095238,0.4822738095238096,0.25083928571428565,0.01293033357142857,0.16703095238095236,0.03956488095238095,0.3049821428571429,8
argentine metal,0.0185,0.62,0.816,0.007409999999999998,0.0984,0.222,0.6679999999999999,2
argentine punk,0.008,0.6409999999999999,0.58175,0.007193325,0.28729999999999994,0.042525,0.5429999999999999,2
argentine reggae,0.10265000000000002,0.7504000000000001,0.5710944444444445,0.0002708026111111112,0.12698055555555554,0.071425,0.7888444444444445,2
argentine rock,0.23211301075083546,0.5867841067010474,0.6090961186419577,0.04049033249719049,0.193199807873048,0.05154409558551828,0.5936230916333303,3
arkansas country,0.494172747683781,0.5809213703740305,0.4998618768715609,0.00907510827067428,0.2128719394036746,0.053542889609493084,0.6023703137837284,4
arkansas indie,0.2365,0.4300000000000001,0.504,0.10766500000000001,0.171,0.03125,0.1685,3
art pop,0.3346633851335184,0.5399366645883344,0.5651932352669092,0.21069214351099516,0.17040941834957038,0.05961479971365501,0.4186723678303535,3
art punk,0.1658151087550556,0.5531457579880902,0.7056440692759934,0.20102763806878204,0.1911062296666083,0.07160295012173781,0.6211609317680334,2
