,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness,track_count
Juice WRLD,0.8079999999999999,0.745,0.342,0.145,0.0,0.292,0.8290000000000001,0.94,4.0,0.5,10,0,1,1.0,8,5,2
Tammi Terrell,0.6629999999999999,0.6,0.032,0.43,0.0,0.184,0.8,0.81,3.0,0.5,7,1,0,1.0,6,5,2
Joyner Lucas,0.8759999999999999,0.7859999999999999,0.306,0.0627,0.0,0.127,0.575,0.79,4.0,0.5,10,0,1,1.0,8,6,2
Ed Sheeran,0.794,0.637,0.33899999999999997,0.027999999999999997,0.0,0.0919,0.39299999999999996,0.79,3.0,0.5,4,0,1,1.0,5,5,2
Alicia Keys,0.491,0.956,0.392,0.0295,0.0,0.46,0.8109999999999999,0.79,5.0,0.5,11,1,1,1.0,9,6,2
Eminem,0.8006842105263159,0.7857368421052632,0.22046315789473686,0.1552463157894737,4.4526315789473686e-05,0.2728052631578947,0.5526,0.7842105263157896,4.578947368421052,0.6842105263157895,7,1,1,1.0,7,6,19
Rihanna,0.7100000000000001,0.9246666666666666,0.24799999999999997,0.25433333333333336,0.0,0.4343333333333333,0.5743333333333333,0.7799999999999999,4.0,0.6666666666666666,10,1,1,1.0,4,5,3
Nate Dogg,0.6203333333333333,0.858,0.1626666666666667,0.10013333333333334,3.3333333333333337e-06,0.10073333333333334,0.3763333333333334,0.7766666666666667,4.666666666666667,0.6666666666666666,1,1,1,1.0,9,6,3
The Beatles,0.5130999999999999,0.49559999999999993,0.03574000000000001,0.40032999999999996,0.025051564,0.11813,0.5211,0.7699999999999999,3.1,0.5,9,1,0,1.0,5,5,20
AC/DC,0.5187000000000002,0.8504999999999999,0.10179,0.0579674,0.018539700000000003,0.20841000000000004,0.5151,0.7609999999999999,4.3,0.5,9,1,0,1.0,7,6,20
Linkin Park,0.687,0.7929999999999999,0.166,0.0603,0.0,0.5820000000000001,0.7509999999999999,0.76,3.0,0.5,2,1,1,1.0,5,6,2
Elton John,0.597578947368421,0.5931052631578947,0.04765263157894737,0.3112947368421053,0.01313518894736842,0.14072105263157897,0.5780000000000001,0.7505263157894737,4.578947368421052,0.5263157894736842,0,1,0,1.0,7,5,19
Bob Marley & The Wailers,0.7968,0.502,0.18144000000000002,0.17159299999999994,0.002397533,0.1562,0.7081999999999999,0.744,4.2,0.5,9,1,0,1.0,6,5,20
The Rolling Stones,0.6226,0.7353000000000001,0.05658,0.35052,0.024347999999999998,0.14772000000000005,0.6821999999999999,0.7419999999999999,4.6,0.5,9,1,0,1.0,6,5,20
Drake,0.826,0.318,0.0574,0.493,0.0131,0.11,0.138,0.74,4.0,1.0,10,1,0,1.0,5,5,1
Michael Jackson,0.8193999999999999,0.7250999999999997,0.06348,0.20920999999999998,0.054571787000000004,0.16699000000000003,0.6687,0.74,4.6,0.5,11,1,0,1.0,6,6,20
Kanye West,0.7081666666666666,0.8246666666666668,0.2695,0.269,0.002983333333333333,0.3148333333333333,0.5701666666666666,0.7233333333333333,4.0,0.6666666666666666,1,1,1,1.0,7,6,6
"""Guns N Roses""",0.38180000000000003,0.7735000000000001,0.06364999999999998,0.095298,0.13329270000000001,0.17930000000000001,0.34850000000000003,0.7219999999999999,6.1,0.5,11,1,0,1.0,6,5,20
YG,0.7859999999999999,0.733,0.127,0.0257,0.0,0.14300000000000002,0.358,0.72,3.0,1.0,6,0,1,1.0,5,6,1
Tyga,0.7859999999999999,0.733,0.127,0.0257,0.0,0.14300000000000002,0.358,0.72,3.0,1.0,6,0,1,1.0,5,6,1
Led Zeppelin,0.4520000000000001,0.6979000000000001,0.09051000000000002,0.2841182,0.03831793,0.18250000000000005,0.6156,0.714,4.8,0.5,9,1,0,1.0,4,5,20
Bruce Springsteen,0.5326999999999998,0.7236,0.0411,0.2033283,0.01578173,0.17901000000000006,0.6801999999999999,0.7110000000000001,4.1,0.5,5,1,0,1.0,7,5,20
Skylar Grey,0.594,0.946,0.452,0.0869,0.0,0.306,0.397,0.71,5.0,0.5,3,1,1,1.0,8,6,2
David Bowie,0.527,0.6057272727272728,0.04206363636363636,0.18897918181818188,0.04839847818181817,0.17230909090909094,0.5542727272727274,0.7081818181818181,4.909090909090909,0.5,0,1,0,1.0,6,5,22
Pink Floyd,0.4356000000000001,0.34900000000000003,0.05075999999999999,0.37317999999999996,0.2983727,0.24369000000000005,0.32797,0.708,6.0,0.5,11,1,0,0.6,6,5,20
Stevie Wonder,0.6224999999999999,0.6007000000000001,0.05132,0.2169,0.000999321,0.18134,0.8003,0.708,3.9,0.5,6,1,0,1.0,5,5,20
Aerosmith,0.4379090909090909,0.7566363636363637,0.03847272727272727,0.1344201818181818,0.004477209090909091,0.17714545454545458,0.5453636363636365,0.7072727272727272,4.818181818181818,0.5,9,1,0,1.0,5,5,22
Radiohead,0.3839,0.497,0.03719000000000001,0.22140000000000004,0.10460532,0.11875,0.24843,0.7020000000000002,4.4,0.5,7,1,0,1.0,4,5,20
Creedence Clearwater Revival,0.6744000000000001,0.6529,0.03796000000000001,0.14688,0.085921627,0.11403999999999999,0.8275,0.7020000000000001,2.7,0.5,2,1,0,1.0,7,5,20
Eagles,0.5451999999999999,0.5583000000000001,0.03316000000000001,0.26327399999999995,0.011397935000000001,0.19425,0.6454000000000001,0.7000000000000001,5.2,0.5,7,1,0,1.0,7,5,20
Kiki Dee,0.742,0.863,0.038,0.177,5.59e-06,0.0699,0.7759999999999999,0.7,5.0,0.5,5,1,0,1.0,7,5,2
Nirvana,0.4824,0.7434000000000001,0.0639,0.16492774999999998,0.00356338,0.23101,0.5052,0.7,4.1,0.5,1,1,0,1.0,6,5,20
Frank Ocean,0.654,0.7509999999999999,0.105,0.24600000000000002,0.0179,0.16699999999999998,0.568,0.7,5.0,1.0,8,0,1,1.0,5,5,1
The-Dream,0.654,0.7509999999999999,0.105,0.24600000000000002,0.0179,0.16699999999999998,0.568,0.7,5.0,0.5,8,0,1,1.0,5,5,2
JAY-Z,0.7250833333333332,0.7699166666666667,0.29174999999999995,0.19318333333333335,0.002400368333333333,0.2824333333333333,0.6226666666666666,0.6991666666666667,4.166666666666667,0.8333333333333334,10,1,1,1.0,5,5,12
Simon & Garfunkel,0.4295000000000001,0.3707000000000001,0.037790000000000004,0.6427999999999999,0.032812509000000004,0.12876,0.489,0.6990000000000001,3.6,0.5,11,1,0,1.0,5,5,20
Kygo,0.6890000000000001,0.68,0.0427,0.321,0.0211,0.0431,0.6459999999999999,0.69,6.0,0.5,0,0,0,1.0,5,5,2
Willie Nelson,0.67,0.35100000000000003,0.0463,0.48,0.0176,0.115,0.45,0.69,3.0,1.0,2,1,0,1.0,5,4,1
The Highwaymen,0.67,0.35100000000000003,0.0463,0.48,0.0176,0.115,0.45,0.69,3.0,1.0,2,1,0,1.0,5,4,1
Waylon Jennings,0.67,0.35100000000000003,0.0463,0.48,0.0176,0.115,0.45,0.69,3.0,1.0,2,1,0,1.0,5,4,1
Digital Underground,0.846,0.416,0.118,0.156,9.34e-06,0.238,0.645,0.69,4.0,0.5,10,0,1,0.8,5,5,2
Kris Kristofferson,0.67,0.35100000000000003,0.0463,0.48,0.0176,0.115,0.45,0.69,3.0,0.5,2,1,0,1.0,5,4,2
The Doors,0.5068,0.6519999999999999,0.03903,0.2879999999999999,0.0032804459999999994,0.13681,0.69182,0.6890000000000001,5.1,0.5,9,1,0,1.0,6,5,20
Queen,0.5843684210526314,0.5176315789473684,0.07437894736842106,0.32689473684210535,0.03470063894736841,0.23170526315789478,0.4564210526315789,0.688421052631579,4.105263157894737,0.5263157894736842,5,1,0,0.0,6,5,19
Bob Dylan,0.471,0.41739999999999994,0.04507368421052632,0.6057263157894738,0.018879785263157894,0.1515578947368421,0.5191052631578948,0.6863157894736842,4.842105263157895,0.5263157894736842,7,1,0,1.0,9,5,19
Elvis Presley,0.47061111111111104,0.5305,0.050088888888888884,0.4944658333333333,0.030206963333333336,0.24761111111111112,0.6963333333333334,0.6827777777777779,3.0,0.5555555555555556,7,1,0,1.0,6,5,18
French Montana,0.564,0.7170000000000001,0.397,0.09699999999999999,0.0,0.493,0.423,0.68,5.0,1.0,10,0,1,1.0,6,5,1
Fat Joe,0.564,0.7170000000000001,0.397,0.09699999999999999,0.0,0.493,0.423,0.68,5.0,1.0,10,0,1,1.0,6,5,1
InfaRed,0.564,0.7170000000000001,0.397,0.09699999999999999,0.0,0.493,0.423,0.68,5.0,0.5,10,0,1,1.0,6,5,2
Remy Ma,0.564,0.7170000000000001,0.397,0.09699999999999999,0.0,0.493,0.423,0.68,5.0,1.0,10,0,1,1.0,6,5,1
U2,0.499,0.7278,0.040940000000000004,0.11206500000000001,0.03661238000000001,0.21903999999999998,0.4727,0.6780000000000002,4.5,0.5,2,1,0,1.0,7,5,20
The Police,0.6481,0.6075,0.11362000000000001,0.159022,0.015683095,0.11551,0.6647000000000002,0.6779999999999999,4.2,0.5,2,1,0,1.0,7,5,20
Van Morrison,0.5438000000000001,0.4243,0.041800000000000004,0.4337,0.0018036100000000002,0.15459000000000006,0.5535,0.677,4.1,0.5,7,1,0,1.0,4,5,20
R.E.M.,0.5232000000000001,0.6517999999999999,0.030440000000000005,0.28596949999999993,0.008655204,0.15799000000000002,0.5828,0.674,4.1,0.5,7,1,0,1.0,6,5,20
The Beach Boys,0.507,0.6203000000000001,0.03441,0.34579000000000004,0.0005437760000000002,0.13135000000000002,0.7391,0.671,2.9,0.5,6,1,0,1.0,6,5,20
Snoop Dogg,0.8082222222222221,0.7531111111111111,0.28211111111111115,0.10848911111111112,7.413333333333332e-05,0.1020888888888889,0.5409999999999999,0.6644444444444444,3.7777777777777777,0.5555555555555556,11,1,1,1.0,5,6,9
Jimi Hendrix,0.4276,0.7419999999999999,0.12239999999999998,0.243844,0.12743292899999997,0.18588000000000002,0.48299999999999993,0.6619999999999998,3.3,0.5,8,1,0,1.0,5,5,20
Metallica,0.5003,0.7868999999999999,0.07141,0.011129636000000004,0.07334250199999999,0.13477,0.398,0.6569999999999999,6.3,0.5,7,1,0,0.0,7,5,20
Dr. Dre,0.7526153846153847,0.8048461538461538,0.19192307692307692,0.09182399999999999,0.0002453553846153846,0.17906923076923079,0.5643846153846155,0.6546153846153846,4.3076923076923075,0.8461538461538461,11,1,1,1.0,5,6,13
Royal Philharmonic Orchestra,0.29,0.593,0.039,0.563,0.0235,0.127,0.275,0.65,4.0,0.5,7,1,0,1.0,4,5,2
Hittman,0.765,0.88,0.11599999999999999,0.17600000000000002,1e-05,0.139,0.929,0.65,4.0,1.0,1,1,1,1.0,8,6,1
The Who,0.5124000000000001,0.7261,0.04733999999999999,0.17915000000000003,0.10194892100000001,0.11628000000000001,0.4802999999999999,0.65,4.5,0.5,2,1,0,1.0,7,5,20
Xzibit,0.772,0.821,0.25,0.223,0.0,0.14800000000000002,0.77,0.65,4.0,0.5,11,0,1,1.0,5,6,2
Six-Two,0.765,0.88,0.11599999999999999,0.17600000000000002,1e-05,0.139,0.929,0.65,4.0,1.0,1,1,1,1.0,8,6,1
Neil Young,0.5971764705882352,0.39235294117647057,0.033135294117647054,0.3693983529411765,0.016380988235294117,0.22097058823529409,0.508235294117647,0.65,4.705882352941177,0.5882352941176471,4,0,0,1.0,7,5,17
Kurupt,0.765,0.88,0.11599999999999999,0.17600000000000002,1e-05,0.139,0.929,0.65,4.0,0.5,1,1,1,1.0,8,6,2
UGK,0.88,0.8140000000000001,0.14,0.168,0.00672,0.0584,0.9420000000000001,0.65,5.0,0.5,11,0,1,1.0,7,5,2
Outlawz,0.916,0.8440000000000001,0.236,0.0394,0.0,0.0778,0.586,0.65,5.0,0.5,7,1,1,0.0,5,6,2
Aretha Franklin,0.6329999999999999,0.526,0.04505000000000001,0.36139,3.9025e-05,0.1439,0.6722999999999999,0.6489999999999999,3.3,0.5,0,1,0,1.0,6,5,20
John Lennon,0.5689444444444445,0.4467777777777778,0.03852777777777778,0.5643888888888889,0.06448035,0.19169999999999998,0.43111111111111106,0.6461111111111112,3.611111111111111,0.5555555555555556,0,1,0,1.0,4,5,18
Lynyrd Skynyrd,0.42189999999999994,0.6090000000000001,0.04906,0.144794,0.010960167,0.15573,0.5876,0.646,6.0,0.5,9,1,0,1.0,6,5,20
The Flux Fiddlers,0.5335,0.364,0.027350000000000003,0.9005,0.18455000000000002,0.10189999999999999,0.197,0.645,3.5,0.5,0,1,0,1.0,7,5,4
The Plastic Ono Band,0.5335,0.364,0.02735,0.9005000000000001,0.18455,0.10189999999999999,0.197,0.645,3.5,1.0,0,1,0,1.0,7,5,2
Roger,0.763,0.85,0.0417,0.0304,1.21e-06,0.371,0.7609999999999999,0.64,5.0,1.0,7,1,1,0.0,5,6,1
Junkie XL,0.597,0.97,0.0502,0.00038500000000000003,0.205,0.133,0.7170000000000001,0.64,4.0,0.5,4,0,0,1.0,6,5,2
Akon,0.444,0.866,0.111,0.0006219999999999999,4.72e-05,0.105,0.375,0.64,4.0,0.5,7,1,1,1.0,5,5,2
Lionel Richie,0.456,0.332,0.025,0.665,0.000248,0.138,0.237,0.64,4.0,1.0,10,1,0,0.0,5,5,1
Maluma,0.8140000000000001,0.6829999999999999,0.304,0.0596,1.92e-05,0.6709999999999999,0.473,0.64,5.0,0.5,1,1,0,1.0,5,5,2
The Clash,0.6932999999999999,0.7354,0.06170999999999999,0.08529999999999999,0.014769830000000001,0.16748,0.8004999999999999,0.639,4.0,0.5,2,1,0,1.0,6,5,20
The Velvet Underground,0.48939999999999995,0.5103333333333333,0.03473333333333333,0.2970193333333333,0.15376775199999998,0.23718,0.5825333333333333,0.6373333333333334,4.866666666666666,0.6666666666666666,5,1,0,1.0,7,5,15
Prince,0.6771999999999999,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.637,5.1,0.5,11,1,0,1.0,6,5,20
Eric Clapton,0.5995238095238095,0.49814285714285705,0.038842857142857144,0.40255714285714295,0.0713601904761905,0.2844095238095238,0.5773333333333333,0.6352380952380952,4.380952380952381,0.5714285714285714,9,1,0,1.0,5,5,21
Santana,0.6342666666666668,0.5853333333333334,0.05571999999999999,0.30127333333333334,0.17899784866666665,0.12157333333333332,0.6486666666666667,0.6346666666666667,4.0,0.6666666666666666,2,1,0,1.0,6,5,15
The Kinks,0.5549000000000001,0.7336999999999999,0.05301,0.34619999999999995,0.025689807,0.13184,0.7167,0.6329999999999999,3.1,0.5,7,1,0,1.0,6,5,20
Talent,0.865,0.665,0.073,0.0453,0.0,0.224,0.331,0.63,4.0,0.5,7,1,1,0.0,6,5,2
Crazy Horse,0.49800000000000005,0.4286666666666667,0.0299,0.3169666666666667,0.020591666666666668,0.2000333333333333,0.4893333333333334,0.63,6.666666666666667,0.5,7,0,0,1.0,6,5,6
Beastie Boys,0.7125,0.7974,0.26493,0.15196999999999997,0.0034482719999999996,0.16155999999999998,0.6289,0.6290000000000001,3.3,0.5,6,1,0,1.0,5,5,20
Tom Petty,0.5959999999999999,0.5971,0.03023,0.1132211,0.062915266,0.20115,0.6404999999999998,0.629,3.8,0.5,2,1,0,1.0,6,5,20
Otis Redding,0.6223636363636365,0.3912727272727274,0.0677181818181818,0.5008181818181817,0.00028878545454545456,0.16051818181818178,0.5743636363636363,0.6263636363636365,2.8181818181818183,0.5,10,1,0,1.0,5,5,22
James Taylor,0.6136,0.3515,0.037630000000000004,0.48180000000000006,0.005421118,0.11120999999999999,0.5467000000000001,0.626,3.5,0.5,4,1,0,1.0,4,5,20
The Temptations,0.6299,0.5589,0.05302,0.45492,0.006286900000000001,0.22219000000000005,0.7321000000000002,0.624,3.6,0.5,0,1,0,1.0,6,5,20
Marvin Gaye,0.6239523809523811,0.5844761904761905,0.04291904761904762,0.24107619047619042,0.08080658380952381,0.13165714285714283,0.6944761904761905,0.620952380952381,3.619047619047619,0.5714285714285714,3,1,0,1.0,6,5,21
Eurythmics,0.67,0.903,0.0402,0.0129,0.0,0.331,0.953,0.62,6.0,1.0,10,0,0,1.0,7,5,1
Kim Weston,0.523,0.48,0.0492,0.214,0.0,0.0751,0.81,0.62,3.0,0.5,3,1,0,1.0,8,5,2
Talking Heads,0.7150000000000001,0.7289999999999999,0.04853,0.142924,0.07775736999999999,0.19567,0.8442000000000001,0.6180000000000001,4.3,0.5,2,1,0,1.0,6,5,20
Nico,0.4322000000000001,0.5254,0.04172,0.26745399999999997,0.45327799999999996,0.10634000000000002,0.4596,0.616,4.6,0.5,8,1,0,1.0,7,5,10
Joni Mitchell,0.5232000000000001,0.2851,0.03483,0.8253,0.000163731,0.16867000000000004,0.5287,0.616,4.2,0.5,6,1,0,1.0,4,5,20
"""The J.B.s""",0.768,0.5780000000000001,0.10675000000000001,0.40449999999999997,0.007045000000000001,0.0864,0.72,0.615,6.0,0.5,1,1,0,1.0,5,5,4
The Allman Brothers Band,0.4391,0.6077999999999999,0.03351,0.3828,0.21461988,0.27192000000000005,0.6709999999999999,0.614,5.5,0.5,4,1,0,1.0,5,5,20
Michelle Branch,0.59,0.929,0.0478,0.0714,0.000153,0.0598,0.674,0.61,4.0,0.5,2,1,0,1.0,6,6,2
Rob Thomas,0.609,0.9229999999999999,0.0338,0.16,4.73e-06,0.295,0.961,0.61,5.0,0.5,9,1,0,1.0,6,6,2
