genres,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness
detroit hip hop,0.8006842105263159,0.7857368421052632,0.2204631578947369,0.1552463157894737,4.4526315789473686e-05,0.2728052631578947,0.5526,0.7863157894736843,4.578947368421051,0.6842105263157895,7,1,1,1.0,7,6
merseybeat,0.5130999999999999,0.4955999999999999,0.035740000000000015,0.40033,0.025051564,0.11813,0.5211,0.7699999999999999,3.1,0.5,9,1,0,1.0,5,5
australian rock,0.5186999999999999,0.8504999999999999,0.10178999999999999,0.057967399999999995,0.018539700000000003,0.20841000000000004,0.5151,0.7609999999999999,4.3,0.5,9,1,0,1.0,7,6
reggae,0.7968,0.502,0.18144,0.17159299999999994,0.002397533,0.1562,0.7081999999999999,0.7440000000000001,4.2,0.5,9,1,0,1.0,6,5
r&b,0.8193999999999999,0.7251,0.06347999999999998,0.20921,0.054571787,0.16699000000000006,0.6687,0.74,4.6,0.5,11,1,0,1.0,6,6
glam metal,0.3818,0.7735000000000001,0.06364999999999997,0.09529800000000001,0.13329270000000001,0.1793,0.34850000000000003,0.722,6.1,0.5,11,1,0,1.0,6,5
oxford indie,0.3839,0.49700000000000005,0.037190000000000015,0.22140000000000004,0.10460532,0.11875,0.24843,0.7020000000000002,4.4,0.5,7,1,0,1.0,4,5
yacht rock,0.5451999999999999,0.5583000000000002,0.033159999999999995,0.26327399999999995,0.011397935,0.19425,0.6454,0.7000000000000001,5.2,0.5,7,1,0,1.0,7,5
grunge,0.4824000000000001,0.7434000000000001,0.0639,0.16492775,0.003563380000000001,0.23101,0.5052,0.7,4.1,0.5,1,1,0,1.0,6,5
heartland rock,0.5579666666666666,0.6263333333333334,0.03483,0.19327446666666662,0.030031643666666663,0.19147000000000003,0.6553666666666667,0.6803333333333335,4.366666666666667,0.5,7,1,0,1.0,7,5
irish rock,0.4990000000000001,0.7278000000000001,0.04094,0.112065,0.036612380000000014,0.21904,0.4727,0.6779999999999999,4.5,0.5,2,1,0,1.0,7,5
acid rock,0.4672,0.697,0.08071500000000001,0.265922,0.06535668749999997,0.161345,0.58741,0.6755,4.199999999999999,0.5,9,1,0,1.0,6,5
baroque pop,0.507,0.6203000000000001,0.03441,0.34579000000000004,0.0005437760000000002,0.13135,0.7391,0.6719999999999999,2.9,0.5,6,1,0,1.0,6,5
glam rock,0.5727894736842105,0.6230128229665072,0.05330104306220096,0.28478273110047847,0.047848270615311,0.16459708133971296,0.5878387559808612,0.6682181818181819,4.258660287081339,0.5105263157894736,0,1,0,1.0,6,5
g funk,0.7822032163742692,0.7515906432748538,0.20373435672514623,0.12942426900584797,0.0003376934356725147,0.24221374269005846,0.5964944444444444,0.662046783625731,4.511695906432749,0.6476608187134503,7,1,1,0.8,7,6
speed metal,0.5003,0.7868999999999998,0.07141000000000003,0.011129636000000002,0.07334250199999999,0.13476999999999995,0.39799999999999996,0.6579999999999999,6.3,0.5,7,1,0,0.0,7,5
thrash metal,0.5003,0.7868999999999998,0.07141000000000003,0.011129636000000002,0.07334250199999999,0.13476999999999995,0.39799999999999996,0.6579999999999999,6.3,0.5,7,1,0,0.0,7,5
old school thrash,0.5003,0.7868999999999998,0.07141000000000003,0.011129636000000002,0.07334250199999999,0.13476999999999995,0.39799999999999996,0.6579999999999999,6.3,0.5,7,1,0,0.0,7,5
southern rock,0.5118000000000001,0.6232333333333333,0.04017666666666667,0.22482466666666667,0.10383389133333336,0.18056333333333333,0.6953666666666667,0.655,4.733333333333333,0.5,4,1,0,1.0,7,5
classic canadian rock,0.5971764705882352,0.3923529411764706,0.03313529411764705,0.3693983529411764,0.01638098823529412,0.22097058823529409,0.508235294117647,0.65,4.705882352941177,0.5882352941176471,4,0,0,1.0,7,5
melancholia,0.475725,0.5107333333333334,0.03977833333333334,0.35294108333333335,0.10212570524999999,0.157775,0.4884408333333333,0.6496666666666668,4.366666666666667,0.5416666666666666,7,1,0,1.0,7,5
album rock,0.5180248192852899,0.6121061551650963,0.054463127964295775,0.2682784824756329,0.07827465529433923,0.18054530208944825,0.5825560101698095,0.6487282144755829,4.4955818423063,0.5118836306452406,9,1,0,1.0,7,5
british invasion,0.5252399999999999,0.66694,0.04905400000000001,0.2932964,0.0815864618,0.125716,0.59006,0.6479999999999999,3.5799999999999996,0.5,9,1,0,1.0,7,5
rock,0.5159599180088343,0.6248827755176826,0.05706011111065291,0.2700455539927386,0.07200528795671778,0.1799894290659461,0.561801905869042,0.6386812700543352,4.314947528105423,0.5148741007874136,9,1,0,1.0,6,5
latin hip hop,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5
latin pop,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5
tropical,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5
reggaeton,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5
bachata,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5
latin,0.6772,0.6662000000000001,0.06187,0.0794,0.00898412,0.263,0.6232,0.638,5.1,0.5,11,1,0,1.0,6,5
mexican classic rock,0.6342666666666668,0.5853333333333334,0.055720000000000006,0.3012733333333333,0.17899784866666665,0.12157333333333332,0.6486666666666667,0.6346666666666666,4.0,0.6666666666666666,2,1,0,1.0,6,5
canadian singer-songwriter,0.5601882352941175,0.33872647058823535,0.03398264705882352,0.5973491764705883,0.00827235961764706,0.19482029411764706,0.5184676470588234,0.633,4.452941176470588,0.5441176470588236,6,1,0,1.0,7,5
hard rock,0.4527212121212122,0.6886117715617716,0.0642496114996115,0.18396136273815072,0.09992889816938616,0.18271811188811188,0.5299809634809635,0.6327264957264956,4.8492618492618496,0.5042735042735043,9,1,0,1.0,7,5
soft rock,0.5834161355770379,0.561195059076262,0.04627549628038351,0.3151361673787643,0.04496207076520667,0.17810910251820025,0.6117089947089946,0.6310788479134343,4.163376695707522,0.5119544893980984,2,1,0,1.0,5,5
