,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,popularity,explicit,id,name,artists,available_markets,collab
1956-01-01,0.349,0.265,7,5,1,0.0324,0.95,0.000118,0.165,0.48,10,3,0.5,0,675n4cfx308vwH0VBGqEOM,I Saw The Light - Single Version,Hank Williams,1.0,0
1957,0.524,0.892,9,5,1,0.0647,0.48,0.0075200000000000015,0.392,0.9229999999999999,9,2,0.41,0,6m0AX3ehvl3dSmMIQvtjYy,Matchbox,Carl Perkins,1.0,0
1957,0.5920000000000001,0.843,11,5,0,0.0827,0.298,0.0,0.45399999999999996,0.85,4,2,0.32,0,5jQrMBN4mVXmrPt8g0dQCQ,Everybody's Trying to Be My Baby,Carl Perkins,1.0,0
1957,0.716,0.718,4,5,1,0.0473,0.555,2.61e-05,0.254,0.927,4,3,0.38,0,6zvWevV2f4mf4CnTNahgSL,Honey Don't,Carl Perkins,1.0,0
1957,0.659,0.902,2,5,1,0.133,0.462,3.9399999999999995e-05,0.0712,0.674,9,3,0.45,0,05OCYhoEeasqAJXKtYxRZi,Boppin' the Blues,Carl Perkins,1.0,0
1957,0.5479999999999999,0.675,4,5,0,0.0364,0.44799999999999995,8.53e-05,0.297,0.965,8,2,0.55,0,3Qylbx7tZcsP9RggQ6umUh,Blue Suede Shoes,Carl Perkins,1.0,0
1957-01-01,0.535,0.177,1,5,1,0.0384,0.861,1.97e-06,0.11,0.404,7,3,0.5,0,0oQtjAjUeksVd9gHE5fl02,Drown in My Own Tears,Ray Charles,1.0,0
1957-01-01,0.556,0.61,9,6,1,0.213,0.833,2.22e-06,0.258,0.665,10,3,0.67,0,2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,Ray Charles,1.0,0
1957-01-01,0.696,0.547,5,5,0,0.16899999999999998,0.792,0.0,0.155,0.623,4,3,0.63,0,5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",Ray Charles,1.0,0
1957-01-01,0.565,0.962,8,6,1,0.064,0.4370000000000001,0.0,0.056,0.906,7,3,0.59,0,7DJsL4jyXA39GDiHFQYQ0t,Mess Around,Ray Charles,1.0,0
1957-03-18,0.495,0.182,10,5,0,0.0467,0.79,0.000368,0.129,0.203,6,6,0.57,0,5vb7At47uO0yPGfmYnAHuw,'Round Midnight,Miles Davis,1.0,0
1957-05-01,0.773,0.872,7,5,1,0.0438,0.821,1.64e-05,0.109,0.9470000000000001,7,3,0.5,0,3RYwxAkUbHCzCmX8M0C0Zd,School Day (Ring Ring Goes The Bell),Chuck Berry,1.0,0
1958,0.747,0.21899999999999997,3,5,1,0.0371,0.584,2.57e-05,0.107,0.498,7,2,0.64,0,39lnzOIUCSNaQmgBHoz7rt,Everyday,Buddy Holly,1.0,0
1958,0.5660000000000001,0.711,0,5,1,0.0335,0.611,6.59e-06,0.41700000000000004,0.961,8,2,0.57,0,33aYzW5ToRjiFOzkubeJ8H,Rave On,Buddy Holly,1.0,0
1958,0.626,0.45299999999999996,9,5,1,0.0269,0.11199999999999999,0.226,0.0539,0.615,6,2,0.45,0,3U9Kkv90QElks0pzIgfAxw,Words Of Love,Buddy Holly,1.0,0
1958,0.664,0.66,5,5,1,0.13,0.447,0.0,0.298,0.873,4,3,0.56,0,3h4udS0WeWbsur3yfjvnm4,Reet Petite,Jackie Wilson,1.0,0
1958,0.6759999999999999,0.424,9,5,1,0.0329,0.9470000000000001,0.0004940000000000001,0.11900000000000001,0.493,7,3,0.62,0,2OARIMw1hpehr86Iwmv04c,Peggy Sue,Buddy Holly,1.0,0
1958,0.242,0.436,5,5,1,0.0367,0.6579999999999999,0.0,0.324,0.345,3,3,0.43,0,0CAzT38ct3vgDW3p6yIzUe,To Be Loved,Jackie Wilson,1.0,0
1958-01-01,0.64,0.7290000000000001,1,5,1,0.0453,0.862,0.0,0.111,0.6829999999999999,6,2,0.45,0,3v30QiQtdQQAUIWwfKByN7,Who Do You Love,Bo Diddley,1.0,0
1958-01-01,0.659,0.89,9,5,0,0.0524,0.648,0.0,0.254,0.413,6,2,0.37,0,0Stq0NVgLIXyrAN5tLvyIt,Hey! Bo Diddley,Bo Diddley,1.0,0
1958-01-01,0.513,0.546,0,4,1,0.0391,0.33299999999999996,0.0,0.17,0.8340000000000001,4,3,0.57,0,760clbeDBWmBsBLbszWuNZ,I'm A Man,Bo Diddley,1.0,0
1958-01-01,0.831,0.408,9,5,1,0.0413,0.55,0.0312,0.14,0.6970000000000001,6,3,0.44,0,2rW9GxH8MrqLNVAWyUhF6h,Pretty Thing,Bo Diddley,1.0,0
1958-01-01,0.809,0.701,0,5,1,0.0574,0.17600000000000002,0.0,0.184,0.563,5,2,0.51,0,2R7uUQ0Dehu80gsOcydQC9,Bo Diddley,Bo Diddley,1.0,0
1958-01-29,0.391,0.114,2,5,0,0.0329,0.9740000000000001,0.9490000000000001,0.183,0.139,4,3,0.53,0,3I1LsXYKMeWbdgJgADH8yY,"Générique - BOF ""Ascenseur pour l'échafaud""",Miles Davis,1.0,0
1958-03-01,0.362,0.507,11,5,0,0.0463,0.884,0.00607,0.116,0.755,5,3,0.46,0,0nWFmSvTZmgxGKFxodXgIq,Moanin' At Midnight,"""Howlin Wolf""",1.0,0
1958-03-01,0.507,0.627,1,5,1,0.0354,0.575,0.0,0.198,0.9620000000000001,9,3,0.54,0,4GWHrdyVTC0AWwuRgoWzE7,Sweet Little Sixteen,Chuck Berry,1.0,0
1958-03-01,0.6609999999999999,0.342,9,4,0,0.043,0.8440000000000001,0.000128,0.26,0.588,7,3,0.6,0,2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin',"""Howlin Wolf""",1.0,0
1958-03-01,0.5,0.256,0,4,1,0.185,0.764,0.000308,0.0754,0.726,8,3,0.38,0,7LdbDjg6esKNAsnFElpFnB,Evil (Is Going On),"""Howlin Wolf""",1.0,0
1958-03-01,0.657,0.642,7,5,1,0.085,0.926,0.0165,0.12,0.737,6,3,0.45,0,0MkINaEoNBJfG9G6ewd4xM,How Many More Years,"""Howlin Wolf""",1.0,0
1958-03-01,0.529,0.768,8,5,1,0.0446,0.418,0.000947,0.0655,0.871,8,3,0.51,0,09hxCc0SgV8u46gWsfeqJA,Rock And Roll Music,Chuck Berry,1.0,0
1958-03-21,0.647,0.5820000000000001,10,5,0,0.0755,0.41,1.93e-06,0.0715,0.915,8,2,0.73,0,4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,Elvis Presley,1.0,0
1958-03-21,0.35700000000000004,0.7559999999999999,0,5,1,0.0621,0.733,0.00505,0.76,0.95,9,2,0.7,0,64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis Presley,1.0,0
1958-04,0.5529999999999999,0.546,9,5,0,0.0341,0.442,0.0005139999999999999,0.16699999999999998,0.7,6,6,0.56,0,1xicvSO4CJ2ymqYgpk7DFh,Milestones,Miles Davis,1.0,0
1958-06-01,0.536,0.637,2,5,1,0.0343,0.467,0.0,0.0838,0.7979999999999999,6,3,0.62,0,50RwvvEKX5Q7AZt8FTAwIF,That'll Be The Day,Buddy Holly,1.0,0
1958-07-01,0.42100000000000004,0.64,9,5,1,0.11699999999999999,0.0487,0.0,0.0482,0.8540000000000001,10,2,0.4,0,5zYvVUfInIEx5xGR2qe3Ls,Waitin' In School - Remastered,Ricky Nelson,1.0,0
1958-07-01,0.474,0.33799999999999997,0,5,1,0.0299,0.648,0.0,0.13,0.81,8,3,0.5,0,5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,Ricky Nelson,1.0,0
1959,0.35700000000000004,0.21600000000000005,3,5,1,0.0343,0.767,4.31e-06,0.531,0.28300000000000003,6,4,0.52,0,2htH7r8oqqEwp3BB6oh2cU,Come Rain or Come Shine,Ray Charles,1.0,0
1959,0.524,0.478,7,5,1,0.118,0.406,0.0,0.74,0.843,7,3,0.48,0,6TYR3IVgIwDK6ydc2EPEQq,Lonely Teardrops,Jackie Wilson,1.0,0
1959,0.505,0.17,3,5,1,0.0325,0.823,2.87e-05,0.0619,0.305,4,3,0.53,0,76MSB9fAR5jXVcBXdK5xMy,It Had to Be You,Ray Charles,1.0,0
1959,0.531,0.7829999999999999,0,5,1,0.043,0.586,0.0,0.311,0.935,7,2,0.28,0,79kk3BS5nhll19cRYGxUrV,I'll Be Satisfied,Jackie Wilson,1.0,0
1959,0.54,0.6809999999999999,4,5,1,0.0508,0.8079999999999999,0.0,0.162,0.794,4,5,0.62,0,5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",Ray Charles,1.0,0
1959-01-01,0.388,0.8320000000000001,11,5,1,0.0385,0.5920000000000001,0.0,0.135,0.91,8,2,0.49,0,7iwQPvyViIkyT0HWnatjnk,Blue Monday,Fats Domino,1.0,0
1959-01-01,0.489,0.499,11,5,1,0.0271,0.74,0.000236,0.156,0.8290000000000001,7,2,0.56,0,06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino,1.0,0
1959-01-01,0.40399999999999997,0.193,11,5,1,0.0305,0.794,0.000296,0.10300000000000001,0.273,4,2,0.58,0,0SsYlkXxZ5vkWOTsKxMfMz,Lonesome Town,Ricky Nelson,1.0,0
1959-01-01,0.65,0.89,9,5,1,0.0553,0.611,0.056,0.0786,0.972,6,2,0.49,0,2gZlblsff9FKnhSIwB2ZsU,I'm Walkin',Fats Domino,1.0,0
1959-01-01,0.5770000000000001,0.45,0,5,1,0.0352,0.127,7.28e-05,0.138,0.711,7,2,0.49,0,0snHlyyyUp2hKYEz7ffmkx,Never Be Anyone Else But You - Remastered,Ricky Nelson,1.0,0
1959-01-01,0.448,0.537,6,5,1,0.0319,0.954,0.759,0.109,0.8170000000000001,6,3,0.41,0,0ImWszBg2sQEInlAWaug31,The Fat Man,Fats Domino,1.0,0
1959-01-01,0.486,0.501,4,5,1,0.0326,0.767,7.6e-05,0.0679,0.942,6,3,0.58,0,4ZfQwNx3FlCN07cnUvekh3,Ain't That A Shame,Fats Domino,1.0,0
1959-07-01,0.715,0.797,3,5,1,0.193,0.8370000000000001,0.0,0.209,0.841,5,2,0.6,0,6C7aTTCUWRK7dD379yUT3W,Roll Over Beethoven,Chuck Berry,1.0,0
