artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,popularity,duration_min,collab,key,mode,explicit,available_markets,tempo,loudness,track_count,genres
Eminem,0.8006842105263159,0.7857368421052632,0.2204631578947369,0.1552463157894737,4.4526315789473686e-05,0.2728052631578947,0.5526,0.7863157894736843,4.578947368421051,0.6842105263157895,7,1,1,1.0,7,6,19,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
The Beatles,0.5130999999999999,0.4955999999999999,0.035740000000000015,0.40033,0.025051564,0.11813,0.5211,0.7699999999999999,3.1,0.5,9,1,0,1.0,5,5,20,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
AC/DC,0.5186999999999999,0.8504999999999999,0.10178999999999999,0.057967399999999995,0.018539700000000003,0.20841000000000004,0.5151,0.7609999999999999,4.3,0.5,9,1,0,1.0,7,6,20,"['album rock', 'australian rock', 'hard rock', 'rock']"
Elton John,0.597578947368421,0.5931052631578947,0.04765263157894737,0.3112947368421053,0.01313518894736842,0.14072105263157894,0.5780000000000001,0.7505263157894737,4.578947368421051,0.5263157894736842,0,1,0,1.0,7,5,19,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']"
Bob Marley & The Wailers,0.7968,0.502,0.18144,0.17159299999999994,0.002397533,0.1562,0.7081999999999999,0.7440000000000001,4.2,0.5,9,1,0,1.0,6,5,20,['reggae']
The Rolling Stones,0.6226,0.7353000000000001,0.05658,0.35052,0.024348,0.14772000000000002,0.6822,0.7440000000000001,4.6,0.5,9,1,0,1.0,6,5,20,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
Michael Jackson,0.8193999999999999,0.7251,0.06347999999999998,0.20921,0.054571787,0.16699000000000006,0.6687,0.74,4.6,0.5,11,1,0,1.0,6,6,20,"['pop', 'r&b', 'soul']"
"""Guns N Roses""",0.3818,0.7735000000000001,0.06364999999999997,0.09529800000000001,0.13329270000000001,0.1793,0.34850000000000003,0.722,6.1,0.5,11,1,0,1.0,6,5,20,"['glam metal', 'hard rock', 'rock']"
Led Zeppelin,0.4520000000000001,0.6979000000000001,0.09051000000000002,0.28411820000000004,0.03831793,0.18250000000000005,0.6156,0.715,4.8,0.5,9,1,0,1.0,4,5,20,"['album rock', 'classic rock', 'hard rock', 'rock']"
Bruce Springsteen,0.5326999999999998,0.7235999999999999,0.0411,0.2033283,0.01578173,0.17901000000000006,0.6801999999999999,0.7120000000000001,4.1,0.5,5,1,0,1.0,7,5,20,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
Aerosmith,0.4379090909090909,0.7566363636363637,0.03847272727272727,0.1344201818181818,0.00447720909090909,0.17714545454545458,0.5453636363636364,0.7100000000000001,4.818181818181818,0.5,9,1,0,1.0,5,5,22,"['album rock', 'classic rock', 'hard rock', 'rock']"
David Bowie,0.527,0.6057272727272728,0.042063636363636366,0.18897918181818188,0.048398478181818166,0.17230909090909094,0.5542727272727274,0.7090909090909091,4.909090909090909,0.5,0,1,0,1.0,6,5,22,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
Pink Floyd,0.4356000000000001,0.349,0.050759999999999986,0.37318,0.29837270000000005,0.24369000000000005,0.32797000000000004,0.7089999999999999,6.0,0.5,11,1,0,0.6,6,5,20,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
