danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,popularity,explicit,id,name,release_date,artists,available_markets,tempo,loudness,duration_min
0.81,0.631,4,0,0.327,0.117,0.0,0.119,0.407,0.67,1,6bBnnrknLbDoOCUdKMkmnq,Arkadaş,2019-11-08,['Ben Fero'],1.0,6,3,3
0.943,0.846,2,1,0.212,0.0889,0.0,0.113,0.6990000000000001,0.65,1,3kyGlb9iNqhKJsS2WVNyzH,Demet Akalın,2019-02-20,['Ben Fero'],1.0,4,6,4
0.947,0.574,9,1,0.132,0.00693,1.32e-05,0.0693,0.303,0.42,1,6kqJ0ICT2IZt2oib7ImuB2,JENGA,2019-06-07,"['Khontkar', 'Ben Fero']",0.9873417721518988,2,4,4
0.928,0.6459999999999999,1,1,0.211,0.0449,0.0,0.19,0.315,0.63,1,3VC7KLsQnwLdKHRu7J6XBP,Biladerim İçin,2019-02-20,['Ben Fero'],1.0,1,4,3
0.923,0.648,1,1,0.244,0.111,2.73e-06,0.21,0.542,0.63,1,1DZn3kv6JAsqKw8iNWGWP0,Motivasyon,2019-02-20,['Ben Fero'],1.0,1,6,3
0.889,0.7290000000000001,6,1,0.28,0.21,0.0,0.104,0.632,0.6,1,1pNZLvVjMheeoOpuQqKDIJ,Babafingo,2019-02-20,['Ben Fero'],1.0,6,5,4
0.946,0.5870000000000001,9,1,0.151,0.21600000000000005,8.240000000000001e-05,0.0873,0.7240000000000001,0.4,0,01iWcT0frp57vbavCHK01v,Kim O,2020-02-04,"['Keişan', 'Ben Fero']",0.9873417721518988,2,1,3
0.841,0.635,6,1,0.16899999999999998,0.304,0.0,0.0978,0.445,0.6,1,5NK38OSKOCAoPxTe6sOgW9,3 2 1,2019-02-20,['Ben Fero'],1.0,6,5,4
0.732,0.633,7,0,0.0436,0.013,0.000131,0.129,0.116,0.59,1,1tgWQk65uaKVLqyo62Qjxb,İyice Derine,2019-05-24,"['Keişan', 'Ben Fero']",1.0,5,3,4
0.81,0.7829999999999999,2,1,0.204,0.102,0.00122,0.14800000000000002,0.387,0.4,1,6PQtzyaHnx61E6KxbW4ytc,Fight Kulüp,2019-08-02,"['Killa Hakan', 'Ceza', 'Ezhel', 'Ben Fero']",0.9873417721518988,2,6,6
0.9390000000000001,0.742,5,0,0.0467,0.321,0.0,0.107,0.924,0.7,1,2kQuhkFX7uSVepCD3h29g5,Smack That,2006-01-01,"['Akon', 'Eminem']",0.0379746835443038,3,5,4
0.866,0.45399999999999996,0,1,0.0414,0.0373,1.49e-06,0.275,0.368,0.67,1,4xAk8Lw82G3YoVSOdVAsBx,I Wanna Love You,2006,"['Akon', 'Snoop Dogg']",0.0379746835443038,1,1,4
0.7979999999999999,0.44299999999999995,2,1,0.0403,0.244,0.0,0.326,0.354,0.67,1,7I6DceMT3utDOHjcYCbrr4,Don't Matter,2006-01-01,['Akon'],0.0379746835443038,3,4,5
0.8320000000000001,0.87,8,0,0.16699999999999998,0.267,0.0,0.41200000000000003,0.5660000000000001,0.66,0,1ARJhjuI6TNYZCxYygFQ4F,Right Now (Na Na Na),2008-01-01,['Akon'],0.0379746835443038,4,6,4
0.632,0.5329999999999999,5,0,0.0338,0.35100000000000003,0.0,0.23600000000000002,0.595,0.61,1,5QnM8r0kqFdM84k18aFE2V,Lonely,2004-01-01,['Akon'],0.012658227848101266,1,2,4
0.743,0.948,0,0,0.0893,0.122,0.0,0.11199999999999999,0.614,0.63,0,7rv0UuxMX7CpUUwEE1jVrd,Beautiful,2008-01-01,"['Akon', ""Colby O'Donis"", 'Kardinal Offishall']",0.0379746835443038,3,6,5
0.818,0.579,7,1,0.10099999999999999,0.023,0.0,0.107,0.354,0.52,1,46txlkRpOA5RRkytXVSUwn,Locked Up,2004-01-01,['Akon'],0.012658227848101266,1,6,4
0.763,0.83,9,0,0.0457,0.0685,0.00505,0.062,0.87,0.6,0,1CwRFMS5BYudsGXaY0k48M,Como No (feat. Becky G),2019-10-04,"['Akon', 'Becky G']",0.9873417721518988,1,6,3
0.7090000000000001,0.65,7,1,0.273,0.251,2.3199999999999998e-05,0.0731,0.5429999999999999,0.58,0,11FLXIjJOGzx7H0n1bu5wz,"Sorry, Blame It On Me",2006,['Akon'],0.0379746835443038,6,3,5
0.82,0.648,2,1,0.19,0.301,0.0,0.0819,0.502,0.58,1,7LUYiyveoCa10mdkdFW7gZ,GET MONEY,2019-05-31,"['Akon', 'Anuel AA']",1.0,3,3,4
0.532,0.7829999999999999,2,1,0.0523,0.0038,0.0012,0.161,0.643,0.84,0,4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,2013-01-01,['Avicii'],0.9873417721518988,5,4,4
0.802,0.645,5,0,0.0715,0.272,0.0,0.119,0.376,0.81,0,2x0RZdkZcD8QRI53XT4GI5,SOS (feat. Aloe Blacc),2019-06-06,"['Avicii', 'Aloe Blacc']",1.0,1,4,3
0.527,0.835,6,1,0.0433,0.0166,0.0,0.249,0.654,0.81,0,0ct6r3EGTcMLPtrXHDvVjc,The Nights,2014-01-01,['Avicii'],1.0,5,5,3
0.529,0.612,10,1,0.052000000000000005,0.253,0.0,0.246,0.434,0.81,0,3o1CUVeHIid49sabk6A6Nf,Forever Yours - Avicii Tribute,2020-01-24,"['Kygo', 'Avicii', 'Sandro Cavazza']",1.0,4,1,3
0.662,0.858,2,1,0.0428,0.0016300000000000002,0.0,0.0456,0.295,0.8,1,6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),2017-08-10,"['Avicii', 'Sandro Cavazza']",1.0,6,5,3
0.579,0.736,6,0,0.0527,0.31,0.0,0.198,0.613,0.78,0,2P4OICZRVAQcYAV2JReRfj,Waiting For Love,2015-10-02,['Avicii'],0.9746835443037974,5,6,4
0.5920000000000001,0.873,9,1,0.0275,0.0715,0.00982,0.142,0.516,0.78,0,0vrmHPfoBadXVr2n0m1aqZ,Heaven,2019-06-06,['Avicii'],1.0,4,4,5
0.545,0.78,7,0,0.0436,0.0309,4.64e-05,0.0828,0.458,0.77,0,4RXpgGM7A4Hg7cFBoH5KyF,Hey Brother,2013-01-01,['Avicii'],0.9873417721518988,5,5,4
0.584,0.89,1,0,0.0343,0.047,0.8140000000000001,0.309,0.466,0.59,0,720RCxcq6KRF2PaiFnkC0W,Levels - Radio Edit,2018-09-21,['Avicii'],0.3797468354430379,5,4,3
0.655,0.6659999999999999,5,1,0.0612,0.134,2.12e-05,0.0683,0.272,0.73,0,75NhhYjHO43mvZgYtnXgti,Lonely Together (feat. Rita Ora),2017-08-10,"['Avicii', 'Rita Ora']",1.0,1,5,3
0.514,0.73,1,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,0.97,0,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,2020-03-20,['The Weeknd'],1.0,6,5,3
0.667,0.7190000000000001,7,0,0.0346,0.00285,8.1e-05,0.0736,0.7170000000000001,0.93,1,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,2020-03-20,['The Weeknd'],1.0,2,6,4
0.664,0.5720000000000001,5,0,0.0305,0.0811,0.00604,0.121,0.14300000000000002,0.88,0,2p8IUWQDrpjuFltbdgLOag,After Hours,2020-03-20,['The Weeknd'],1.0,2,4,6
0.68,0.826,0,1,0.0309,0.0212,1.24e-05,0.5429999999999999,0.644,0.86,1,5QO79kh1waicV47BqGRL3g,Save Your Tears,2020-03-20,['The Weeknd'],1.0,3,6,4
0.537,0.746,10,0,0.15,0.0236,1.01e-06,0.156,0.252,0.85,1,6bnF93Rx87YqUBLSgjiMU8,Heartless,2020-03-20,['The Weeknd'],1.0,6,5,3
0.6779999999999999,0.588,7,1,0.276,0.141,6.35e-06,0.13699999999999998,0.486,0.85,1,7MXVkk9YMctZqd1Srtv4MB,Starboy,2016-11-25,"['The Weeknd', 'Daft Punk']",1.0,6,3,4
0.461,0.593,1,1,0.0356,0.17,0.0,0.307,0.175,0.84,0,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,2018-03-30,['The Weeknd'],1.0,4,6,4
0.58,0.565,0,0,0.0488,0.0671,0.0,0.135,0.138,0.84,1,7fBv7CLKzipRk6EC6TWHOB,The Hills,2015-08-28,['The Weeknd'],1.0,2,3,4
0.467,0.608,10,1,0.0707,0.0909,8.83e-05,0.125,0.10800000000000001,0.84,1,6kWxIqQDsKFYCJGbU4AjCX,Hardest To Love,2020-03-20,['The Weeknd'],1.0,1,1,4
0.504,0.498,0,1,0.0499,0.131,0.0,0.0929,0.196,0.83,1,4BGZF4oLbTL0pWm7C18pbv,Scared To Live,2020-03-20,['The Weeknd'],1.0,1,1,3
0.726,0.769,6,1,0.123,0.0293,0.0101,0.104,0.733,0.81,1,3B54sVLJ402zGa6Xm4YGNe,Unforgettable,2017-07-14,"['French Montana', 'Swae Lee']",0.8734177215189873,1,2,4
0.762,0.696,5,0,0.126,0.0172,1.33e-06,0.22,0.532,0.65,1,1LYYsrjs2VIKB8t534B3cm,No Stylist (feat. Drake),2019-12-06,"['French Montana', 'Drake']",1.0,5,2,3
0.618,0.845,2,1,0.132,0.114,0.0,0.415,0.486,0.72,1,5mqzhMuUpvnMfwNz6iepmO,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",2018-05-15,"['Diplo', 'French Montana', 'Lil Pump', 'Zhavia Ward']",1.0,6,6,3
